id,marque_observee,marque_canonique,alias_marque,fabricant,gamme_observee,gamme_canonique,classe_fonctionnelle,reference,nom,quantite,confiance,statut,avertissements,source_photo,source_hashes,couleur_hex,famille_couleur,fini,medium,volume_ml,tags,usages_conseilles,fiche_fabricant,image_fabricant,source_image,credit_image,verifie_le,notes,cle_dedoublonnage
cit-contrast-kroxigor-scales,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-55,Kroxigor Scales,1,,confirme,,IMG_5310.jpeg,,#0b7f91,Turquoise vif,transparent,acrylique,18,turquoise|bleu|contrast,Peaux et écailles|Gemmes et fumées|Vert-de-gris dilué,https://www.warhammer.com/shop/contrast-kroxigor-scales-18ml-2022,/manufacturer/kroxigor-scales.png,,Packshot Citadel · copie locale · source de distribution : Wargame Portal,2026-08-30,,warhammer-colour|contrast|ref:29-55
cit-contrast-leviadon-blue,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-17,Leviadon Blue,1,,confirme,,IMG_5310.jpeg,,#112c4f,Bleu sombre,transparent,acrylique,18,bleu|ombre|contrast,Armures bleu nuit|Tissus profonds|Ombres froides,https://www.warhammer.com/shop/Leviadon-Blue-2019,/manufacturer/leviadon-blue.jpg,,Packshot Citadel · copie locale · source de distribution : Ludifolie,2026-08-30,,warhammer-colour|contrast|ref:29-17
warhammer-colour-contrast-mantis-warriors-green,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-47,Mantis Warriors Green,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#587B2B,Vert mante,transparent contrasté,acrylique à l’eau,18,vert|nature|Contrast|une couche,Peaux vertes|Végétation|Armures et tissus verts,https://www.blackheartgames.com.au/collections/back-in-stock,,,,2026-08-30,Référence confirmée par une liste de distribution. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-47
warhammer-colour-contrast-militarum-green,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-24,Militarum Green,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#4B5535,Vert militaire,transparent contrasté,acrylique à l’eau,18,vert|militaire|uniforme|Contrast|une couche,Uniformes|Armures vertes|Véhicules et équipements,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-24
cit-contrast-nazdreg-yellow,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-21,Nazdreg Yellow,1,,confirme,,IMG_5310.jpeg,,#8b7c21,Jaune moutarde,transparent,acrylique,18,jaune|ocre|contrast,Jaunes ombrés|Os chaud|Métal doré patiné,https://www.warhammer.com/shop/Nazdreg-Yellow-2019,/manufacturer/nazdreg-yellow.png,,Packshot Citadel · copie locale · visuel Games Workshop Trade via The Guardtower,2026-08-30,,warhammer-colour|contrast|ref:29-21
warhammer-colour-contrast-ork-flesh,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-22,Ork Flesh,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#1E5947,Vert orque profond,transparent contrasté,acrylique à l’eau,18,vert|orque|peau|Contrast|une couche,Peaux d’orques|Écailles|Tissus verts profonds,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-22
warhammer-colour-contrast-plaguebearer-flesh,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-42,Plaguebearer Flesh,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#9B9A45,Vert olive maladif,transparent contrasté,acrylique à l’eau,18,vert|olive|peau|Contrast|une couche,Peaux maladives|Nurgle et démons|Végétation jaunie,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-42
cit-contrast-pylar-glacier,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-58,Pylar Glacier,1,,confirme,,IMG_5310.jpeg,,#45c5e9,Bleu glacier,transparent,acrylique,18,bleu clair|glace|contrast,Glace et givre|Lueurs sur métal|Effets énergétiques pâles,https://www.warhammer.com/shop/contrast-pylar-glacier-18ml-2022,/manufacturer/pylar-glacier.png,,Packshot Citadel · copie locale · visuel Games Workshop Trade via Herrick Games,2026-08-30,,warhammer-colour|contrast|ref:29-58
warhammer-colour-contrast-snakebite-leather,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-27,Snakebite Leather,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#725026,Brun cuir chaud,transparent contrasté,acrylique à l’eau,18,brun|cuir|bois|Contrast|une couche,Cuir|Bois|Sangles et équipements,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-27
cit-contrast-talassar-blue,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-39,Talassar Blue,1,,confirme,,IMG_5310.jpeg,,#155cc4,Bleu vif,transparent,acrylique,18,bleu|vif|contrast,Armures bleues vives|Énergie|Tissus saturés,https://www.warhammer.com/shop/Talassar-Blue-2019,/manufacturer/talassar-blue.jpg,,Packshot Citadel · copie locale · source de distribution : Hobby-Max,2026-08-30,,warhammer-colour|contrast|ref:29-39
cit-contrast-terradon-turquoise,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,,Terradon Turquoise,1,,confirme,,IMG_5310.jpeg,,#0f6b70,Turquoise profond,transparent,acrylique,18,turquoise|bleu|contrast,Écailles|Eaux profondes|Effets magiques,https://www.warhammer.com/shop/Terradon-Turquoise-2019,/manufacturer/terradon-turquoise.jpg,,Packshot Citadel · copie locale · source de distribution : The Art Store,2026-08-30,,warhammer-colour|contrast|name:terradon-turquoise
cit-contrast-wyldwood,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-30,Wyldwood,1,,confirme,,IMG_5310.jpeg,,#2e241e,Brun très sombre,transparent,acrylique,18,brun|bois|ombre|contrast,Bois|Cuir sombre|Fourrures et ombres brunes,https://www.warhammer.com/shop/Wyldwood-2019,/manufacturer/wyldwood.jpg,,Packshot Citadel · copie locale · source de distribution : Pandemonium Books & Games,2026-08-30,,warhammer-colour|contrast|ref:29-30
